Year,TOYOTA,HOLDEN,FORD,MITSUBISHI,NISSAN,MAZDA,HYUNDAI,HONDA,SUBARU,SUZUKI
2007,147948,148980,124245,70816,52580,36671,36307,26851,17176,14472
2008,142147,140069,114370,67376,49489,35839,34756,26411,16138,15148
2009,141480,132285,107299,63864,49618,37764,35884,26334,16849,15655
2010,142681,132096,103321,63063,49813,39712,36415,26929,18174,15840
2011,138688,127191,96812,60257,51008,40777,38365,26346,18724,16851
2012,149414,130210,96259,61906,57348,44738,41799,28703,20827,18327
2013,152174,126827,92666,63176,59074,47452,45698,29644,21722,18838
2014,151433,120790,83896,60162,58298,50164,46384,30335,22536,18885
2015,155452,120321,83935,61958,62722,55831,48920,33049,23934,19724
2016,157602,114511,82060,62206,65051,57376,55699,33342,23512,20488
2017,153446,106340,76018,60081,62657,60672,54920,32741,24319,20022
